building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Hospital,Humid,Medium,106629.97,5.0,15.89,7918.0,22.0,68.0,29.93,93.72,Average,Medium,Central Chiller
Office,Warm,Medium,27200.1,1.0,13.26,2072.0,9.0,50.0,23.08,51.42,Average,High,VRF
Residential,Humid,Medium,2526.01,1.0,9.6,41.0,7.0,14.0,35.49,74.32,Good,Low,Multi-Split
Residential,Cold,Medium,1700.33,1.0,10.56,48.0,13.0,0.0,12.38,40.94,Good,Medium,Split AC
Office,Hot,Medium,39553.78,1.0,13.64,3816.0,9.0,24.0,41.19,37.19,Good,High,Multi-Split
Residential,Hot,Low,634.71,1.0,8.55,8.0,7.0,3.0,40.02,34.97,Poor,Low,Split AC
Residential,Hot,Low,2531.72,1.0,10.06,33.0,9.0,27.0,41.03,34.69,Poor,Low,Multi-Split
Residential,Hot,Medium,1396.93,1.0,9.6,19.0,6.0,10.0,40.3,51.9,Poor,Low,Split AC
Office,Warm,Medium,27680.03,2.0,12.35,2192.0,11.0,0.0,33.77,50.28,Average,Medium,Multi-Split
Residential,Hot,High,1889.16,1.0,9.23,47.0,9.0,41.0,37.7,45.66,Good,Medium,Split AC
Retail,Warm,Medium,63300.0,3.0,15.04,9309.0,11.0,34.0,37.94,56.27,Poor,Medium,Packaged Unit
Retail,Hot,High,22722.4,1.0,17.6,5490.0,15.0,20.0,40.79,45.16,Average,Medium,VRF
Retail,Warm,Medium,55460.86,3.0,15.24,6277.0,11.0,23.0,30.38,41.15,Good,High,Packaged Unit
Office,Humid,Medium,28443.3,1.0,10.99,1381.0,10.0,18.0,34.04,62.55,Average,High,VRF
Retail,Hot,Medium,59867.79,5.0,15.59,9034.0,11.0,16.0,48.57,37.97,Good,High,Packaged Unit
Residential,Warm,Medium,1832.84,2.0,10.8,51.0,11.0,25.0,28.44,37.65,Average,Low,Split AC
Office,Hot,Medium,11807.73,1.0,13.67,250.0,8.0,0.0,37.78,37.69,Average,High,Multi-Split
Residential,Warm,Low,2287.34,1.0,9.79,31.0,13.0,47.0,27.71,60.86,Average,Low,Split AC
Residential,Hot,Low,1523.79,1.0,10.69,40.0,12.0,18.0,38.12,32.96,Average,Low,Split AC
Residential,Hot,Low,1290.18,1.0,10.49,22.0,13.0,22.0,35.14,46.89,Poor,Medium,Split AC
Residential,Humid,Medium,2126.75,1.0,9.09,53.0,6.0,19.0,37.41,86.14,Average,Low,Split AC
Residential,Humid,High,1905.21,1.0,8.82,27.0,11.0,18.0,30.28,103.11,Average,Low,Multi-Split
Office,Warm,Medium,24749.81,1.0,13.08,2259.0,8.0,3.0,32.32,34.76,Average,High,VRF
Industrial,Cold,Low,52054.63,,22.45,2378.0,20.0,12.0,7.88,42.68,Poor,Low,Multi-Split
Residential,Humid,High,2920.87,1.0,9.56,51.0,6.0,35.0,37.25,80.46,Good,Low,Multi-Split
Industrial,Hot,Medium,102152.96,4.0,34.18,6200.0,21.0,41.0,43.39,52.97,Average,Low,Central Chiller
Office,Humid,Medium,39761.94,3.0,12.08,2054.0,11.0,7.0,37.89,78.17,Average,High,Central Chiller
Office,Warm,Medium,19957.76,1.0,11.42,552.0,,6.0,27.41,58.02,Average,High,VRF
,Hot,Medium,34519.69,2.0,16.98,2003.0,10.0,26.0,48.01,44.7,Average,Medium,Central Chiller
Office,,Medium,23403.3,2.0,11.56,1128.0,8.0,22.0,26.6,51.05,Average,Medium,VRF
Residential,Cold,Low,1788.5,1.0,9.44,17.0,11.0,25.0,19.41,35.64,Poor,Low,Split AC
Residential,Cold,Low,2528.14,1.0,8.02,76.0,9.0,24.0,15.76,35.46,Average,Low,Multi-Split
Retail,Warm,High,71597.6,1.0,17.59,7094.0,15.0,4.0,29.06,68.47,Average,Medium,Packaged Unit
Office,Warm,Medium,38639.26,1.0,11.01,1681.0,10.0,26.0,34.49,63.11,Average,High,Packaged Unit
Office,Warm,Low,,1.0,13.58,1475.0,11.0,19.0,25.14,51.54,Poor,Medium,VRF
Residential,Hot,High,2674.44,1.0,9.44,25.0,12.0,2.0,32.69,,Good,Low,Multi-Split
Residential,Humid,Medium,2650.61,1.0,10.86,63.0,12.0,9.0,42.61,84.77,Good,Low,Multi-Split
Residential,Hot,Low,1098.87,1.0,9.7,18.0,8.0,10.0,38.84,48.8,Average,Low,Multi-Split
Retail,Warm,Medium,59331.0,6.0,15.58,6884.0,13.0,10.0,27.39,45.16,Good,Medium,VRF
Retail,Warm,Medium,24469.31,2.0,17.98,3681.0,15.0,0.0,29.63,55.03,Good,High,Packaged Unit
Office,Warm,Low,43824.51,1.0,12.39,2142.0,9.0,1.0,35.51,57.77,Poor,High,VRF
Residential,Humid,Medium,2180.52,1.0,9.34,44.0,7.0,18.0,39.87,100.38,Average,Low,Split AC
Office,Cold,Low,51277.0,1.0,13.79,3296.0,8.0,,16.53,39.3,Poor,High,Multi-Split
Office,Humid,Low,23429.01,1.0,13.74,1410.0,10.0,30.0,33.59,68.26,Poor,High,Multi-Split
Retail,Hot,Low,29142.61,2.0,13.41,5074.0,11.0,14.0,41.85,43.08,Poor,Medium,Packaged Unit
Retail,Warm,Medium,51657.98,1.0,18.0,4446.0,10.0,29.0,31.21,42.15,Good,High,Central Chiller
Hospital,Warm,Low,52973.57,4.0,13.15,5108.0,22.0,70.0,36.57,60.1,Average,Low,Packaged Unit
Residential,Hot,Medium,1695.01,1.0,9.18,30.0,13.0,35.0,41.04,42.81,Average,Medium,Split AC
Office,Hot,Low,36650.81,1.0,12.16,1802.0,10.0,21.0,35.84,45.14,Poor,High,VRF
Hospital,Warm,Medium,132374.89,10.0,14.87,8310.0,20.0,43.0,27.2,58.03,Average,Low,Central Chiller
Retail,Humid,Low,32670.14,3.0,15.28,4766.0,11.0,21.0,26.8,78.82,Poor,High,Packaged Unit
Residential,Humid,Medium,3127.55,1.0,9.79,35.0,10.0,10.0,33.13,78.78,Average,Medium,Multi-Split
Retail,Humid,Medium,60430.21,5.0,14.79,4464.0,10.0,11.0,28.24,97.49,Poor,Medium,VRF
Industrial,Hot,Medium,69496.71,2.0,25.07,1920.0,16.0,35.0,,29.29,Average,Low,VRF
Office,Warm,Medium,14323.05,1.0,13.97,1320.0,9.0,47.0,34.33,67.74,Average,Medium,Multi-Split
Office,Humid,Medium,28123.19,1.0,12.43,1227.0,10.0,9.0,31.78,78.9,Poor,Medium,Packaged Unit
Residential,Warm,Medium,1669.12,1.0,8.65,20.0,8.0,13.0,27.59,66.39,Average,,Split AC
Residential,Hot,Medium,1730.5,2.0,8.69,36.0,11.0,7.0,37.16,38.71,Average,Low,Multi-Split
Residential,Warm,Medium,2492.56,1.0,9.61,44.0,7.0,3.0,26.95,49.9,Average,Low,Split AC
Hospital,Warm,High,230921.07,13.0,11.63,12250.0,21.0,23.0,38.63,43.94,Good,Medium,Central Chiller
Residential,Cold,Medium,1639.71,1.0,8.25,16.0,8.0,8.0,12.56,46.95,Average,Low,Split AC
Office,Humid,Medium,14663.4,1.0,10.28,1203.0,9.0,8.0,38.82,102.99,Good,High,Multi-Split
Residential,Warm,Medium,3239.34,1.0,10.83,34.0,13.0,30.0,32.98,46.4,Average,Low,VRF
Office,Hot,Low,38497.58,,11.08,1365.0,11.0,24.0,39.24,57.02,Poor,High,VRF
Office,Cold,Low,21994.38,1.0,10.99,947.0,9.0,33.0,18.04,40.84,Average,High,VRF
Hospital,Humid,Low,161349.72,10.0,15.41,12273.0,23.0,40.0,34.35,68.01,Poor,Low,Central Chiller
Residential,Warm,Medium,2820.04,1.0,9.74,55.0,,16.0,30.26,60.9,Poor,Low,Multi-Split
Office,Warm,Low,7948.19,1.0,11.49,422.0,9.0,9.0,37.42,62.21,Poor,Medium,Multi-Split
Residential,Warm,Low,,1.0,9.55,42.0,8.0,11.0,21.11,22.86,Average,Medium,Split AC
Retail,Hot,Low,27411.04,1.0,14.39,3429.0,11.0,5.0,34.43,43.55,Poor,Medium,Packaged Unit
Office,Hot,Low,22346.64,1.0,11.39,2910.0,10.0,21.0,41.71,44.87,Average,High,VRF
Residential,Hot,High,2188.77,1.0,10.05,33.0,8.0,22.0,36.53,31.72,Good,Low,VRF
Office,Warm,Medium,26033.73,1.0,12.05,2659.0,11.0,37.0,28.55,65.83,Good,Medium,Multi-Split
Industrial,Warm,Medium,89613.84,7.0,16.41,5158.0,18.0,43.0,32.02,63.09,Poor,Low,Packaged Unit
Residential,Humid,Medium,1402.3,1.0,10.38,23.0,13.0,50.0,33.73,84.06,,Low,Multi-Split
Retail,Hot,High,37912.93,1.0,16.35,4472.0,12.0,8.0,39.11,34.76,Excellent,Medium,VRF
Industrial,Humid,Medium,35997.61,1.0,27.29,1442.0,21.0,24.0,31.53,81.08,Average,Medium,Packaged Unit
Office,Humid,Medium,13931.08,1.0,11.3,583.0,11.0,21.0,30.62,81.64,Average,Medium,VRF
Residential,Humid,Low,2102.91,1.0,10.62,24.0,11.0,21.0,37.4,87.53,Poor,Low,Split AC
Hospital,Hot,High,116827.7,7.0,11.6,18481.0,21.0,23.0,36.48,37.18,Average,Low,Central Chiller
Residential,Hot,Medium,1341.05,1.0,10.63,49.0,11.0,47.0,38.28,51.62,Poor,Low,VRF
Hospital,Humid,Medium,500.0,1.0,11.58,63.0,22.0,9.0,38.73,82.28,Average,Low,Central Chiller
Residential,Hot,Medium,2434.8,1.0,8.01,11.0,10.0,1.0,32.37,39.17,Average,Low,Packaged Unit
Hospital,Humid,Low,782.17,1.0,11.09,69.0,20.0,19.0,33.41,63.38,Average,Low,VRF
Residential,,Medium,1986.99,1.0,9.82,43.0,7.0,12.0,33.27,37.95,Good,Low,Split AC
Office,Hot,Medium,46384.94,1.0,12.59,3974.0,8.0,8.0,33.43,41.09,Poor,Medium,Packaged Unit
Residential,Warm,Low,2398.82,2.0,10.54,,9.0,11.0,27.75,,Poor,Low,Multi-Split
Office,Cold,Medium,11908.4,1.0,11.72,554.0,11.0,,16.75,48.26,Poor,,Multi-Split
Residential,Hot,High,1019.68,1.0,8.3,14.0,10.0,14.0,40.24,37.05,Average,Medium,Split AC
Industrial,Hot,,26111.67,,20.11,1237.0,14.0,35.0,42.25,,Excellent,Low,VRF
Office,Hot,Medium,18737.18,1.0,13.13,1495.0,11.0,20.0,37.88,34.32,Average,Medium,VRF
Hospital,Hot,Medium,133456.35,6.0,12.4,11721.0,21.0,88.0,33.02,21.85,Average,Low,Central Chiller
Office,Warm,High,48236.67,2.0,10.24,1999.0,10.0,22.0,34.01,73.33,Excellent,Medium,VRF
Residential,Hot,Medium,1934.6,1.0,8.63,67.0,6.0,18.0,36.57,33.86,Poor,Medium,VRF
Residential,Warm,Medium,1932.5,1.0,8.07,26.0,13.0,0.0,30.85,50.01,Good,Medium,Split AC
Residential,Hot,High,1228.04,1.0,10.72,23.0,10.0,37.0,36.09,45.98,Excellent,Low,Split AC
Office,Hot,Low,14807.36,1.0,10.48,650.0,9.0,,34.21,33.74,Poor,High,Split AC
Retail,Hot,Low,45338.34,1.0,17.06,4170.0,10.0,21.0,37.32,32.51,Poor,High,Central Chiller
Residential,Humid,Low,2039.21,1.0,10.03,52.0,10.0,18.0,31.2,85.01,Poor,Low,Split AC
Retail,Warm,High,58226.55,2.0,15.94,5783.0,14.0,14.0,28.26,51.38,Good,High,Packaged Unit
Retail,Warm,Low,37521.88,1.0,17.47,5474.0,12.0,22.0,20.36,49.23,Poor,High,Packaged Unit
Retail,Warm,High,45330.42,3.0,12.72,4773.0,11.0,21.0,25.09,67.71,Good,High,VRF
Office,Hot,Low,47051.28,3.0,12.41,3129.0,11.0,25.0,38.92,27.4,Poor,Medium,Packaged Unit
Hospital,Warm,Medium,89181.93,3.0,11.73,14996.0,20.0,50.0,34.46,49.95,Poor,Low,Central Chiller
Office,Humid,Medium,34276.16,1.0,11.83,2139.0,11.0,31.0,34.48,85.48,Average,Medium,VRF
Residential,Cold,High,2032.29,1.0,,23.0,6.0,37.0,14.12,38.06,Excellent,Medium,Multi-Split
Hospital,Hot,Medium,172733.32,8.0,13.04,11037.0,20.0,41.0,35.4,53.21,Average,Medium,Central Chiller
Residential,Warm,Medium,952.18,1.0,8.57,24.0,10.0,17.0,28.54,35.38,Good,Low,Multi-Split
Office,Humid,High,42043.08,1.0,13.29,4050.0,9.0,0.0,22.58,86.99,Excellent,High,Central Chiller
Residential,Humid,Medium,1398.99,1.0,,15.0,7.0,20.0,30.67,79.12,Poor,Low,Split AC
Retail,Warm,Medium,58004.39,5.0,17.38,4850.0,15.0,10.0,35.84,32.8,Good,Medium,VRF
Office,Humid,,32805.4,1.0,11.19,699.0,8.0,27.0,28.18,83.19,Poor,Medium,Multi-Split
Residential,Hot,Low,1542.24,1.0,10.0,20.0,6.0,0.0,,36.13,Average,Medium,Packaged Unit
Office,Humid,Low,25647.05,5.0,12.82,1107.0,11.0,24.0,33.97,98.87,Poor,Medium,VRF
Hospital,Cold,Medium,154178.47,6.0,14.22,9752.0,20.0,48.0,14.26,20.68,Poor,Low,Central Chiller
Retail,Cold,Low,58140.05,4.0,15.61,11849.0,11.0,19.0,14.83,36.13,Average,High,VRF
Residential,Warm,Medium,1142.47,1.0,9.65,28.0,12.0,,30.74,51.97,Average,Low,Packaged Unit
Retail,Cold,Medium,27119.98,1.0,15.59,2702.0,12.0,20.0,16.36,38.91,Good,High,Packaged Unit
Office,Humid,Medium,9082.33,1.0,12.69,879.0,10.0,30.0,34.19,85.54,Average,High,Multi-Split
Residential,Cold,High,2742.67,1.0,,35.0,11.0,39.0,18.99,39.08,Excellent,Medium,Multi-Split
Retail,Warm,Low,54955.69,4.0,15.51,4933.0,10.0,24.0,29.05,60.55,Poor,High,Packaged Unit
Retail,Warm,Low,54593.8,1.0,14.82,4323.0,15.0,2.0,33.25,47.21,Poor,Medium,Central Chiller
Residential,Hot,Low,1604.17,1.0,9.61,19.0,12.0,27.0,35.74,45.69,Poor,Low,Split AC
Hospital,Hot,Medium,181626.24,10.0,13.1,4909.0,23.0,10.0,33.85,47.44,Poor,Low,Central Chiller
Residential,Hot,Low,1303.29,1.0,8.32,23.0,8.0,12.0,42.8,32.1,Poor,Medium,Split AC
Office,Cold,Low,31362.3,1.0,12.3,1436.0,11.0,35.0,11.02,41.51,Poor,High,VRF
Hospital,Cold,Medium,106872.19,6.0,15.31,9646.0,20.0,0.0,14.25,32.61,Average,Medium,Central Chiller
Hospital,Humid,Low,191507.78,11.0,13.66,9855.0,23.0,54.0,30.0,84.06,Average,,Central Chiller
Industrial,Warm,High,66366.28,5.0,24.48,1915.0,18.0,0.0,34.51,57.73,Average,Low,Packaged Unit
Residential,Hot,Low,916.85,3.0,10.32,32.0,13.0,12.0,35.48,29.92,Poor,Low,Split AC
Residential,Cold,Medium,2157.55,1.0,10.39,22.0,10.0,33.0,14.42,47.9,Average,Low,Multi-Split
Office,Humid,Medium,33871.67,3.0,10.6,,11.0,30.0,35.72,81.98,Good,Medium,Packaged Unit
Residential,Warm,Low,2612.98,1.0,10.42,42.0,9.0,17.0,29.24,49.63,Poor,Low,Multi-Split
Residential,Hot,Medium,574.04,1.0,9.17,7.0,13.0,7.0,40.81,41.59,Good,Low,Central Chiller
Office,Humid,Medium,17891.73,1.0,11.82,1019.0,,5.0,33.71,85.54,Poor,High,VRF
Residential,Warm,Medium,1674.6,1.0,9.36,33.0,6.0,31.0,31.55,47.96,Average,Low,Split AC
Residential,Warm,High,2032.36,1.0,8.63,73.0,8.0,12.0,27.59,43.63,Good,,Multi-Split
Residential,Warm,Medium,2310.94,1.0,8.92,33.0,13.0,19.0,23.19,45.37,,Low,Split AC
Residential,Cold,Low,2216.52,1.0,8.44,17.0,9.0,18.0,10.72,38.64,Poor,Medium,Split AC
Hospital,Warm,High,197285.61,9.0,11.5,16505.0,21.0,37.0,22.29,47.21,Average,Low,Central Chiller
Residential,Humid,Medium,2391.61,1.0,10.29,12.0,8.0,21.0,39.91,82.36,Good,Medium,Split AC
Residential,Humid,Medium,2501.86,1.0,9.81,40.0,13.0,13.0,37.78,86.16,Good,Medium,Multi-Split
Hospital,Hot,Low,77755.08,5.0,13.75,5183.0,21.0,32.0,40.3,47.42,Average,Medium,Central Chiller
Retail,Warm,Medium,66973.97,1.0,16.02,6617.0,15.0,0.0,36.9,47.13,Poor,Medium,Packaged Unit
Office,Hot,Low,28447.95,3.0,11.57,1662.0,8.0,28.0,38.86,38.01,Poor,High,VRF
Residential,Hot,Low,2243.08,1.0,9.79,33.0,10.0,23.0,40.13,30.37,Average,Low,Split AC
Residential,Hot,Low,1113.31,1.0,9.03,25.0,9.0,14.0,36.28,47.98,Poor,Low,Packaged Unit
Retail,Cold,Medium,23287.64,2.0,16.9,1947.0,14.0,23.0,11.12,31.16,Good,Medium,VRF
Industrial,Warm,High,113390.48,5.0,25.25,3815.0,19.0,48.0,30.49,39.91,Average,Low,Central Chiller
Hospital,Warm,Low,113864.55,6.0,13.11,13837.0,20.0,45.0,36.06,46.36,Average,Medium,Central Chiller
Residential,Cold,Low,2134.15,1.0,8.65,54.0,7.0,25.0,16.73,13.36,Poor,Medium,Split AC
Office,Humid,Low,21056.81,2.0,13.29,1029.0,9.0,17.0,33.9,103.37,Average,Medium,VRF
Industrial,Humid,Low,29905.12,1.0,,506.0,14.0,45.0,31.65,89.25,Poor,Low,Packaged Unit
Residential,Hot,Low,2638.07,1.0,10.64,44.0,6.0,30.0,36.01,39.5,Poor,Low,Multi-Split
Retail,Warm,Medium,30939.28,2.0,,6105.0,15.0,21.0,28.11,73.5,Average,High,VRF
Retail,Hot,Low,500.0,1.0,16.92,43.0,14.0,31.0,42.28,32.7,Average,Medium,Split AC
Office,Hot,Low,,3.0,13.59,958.0,9.0,18.0,34.19,39.61,Average,High,Multi-Split
Residential,Humid,Low,1756.21,1.0,10.57,34.0,12.0,21.0,30.98,88.44,Poor,Low,Multi-Split
Office,Hot,Medium,24107.58,1.0,10.9,1894.0,11.0,27.0,35.98,29.92,Average,High,VRF
Retail,Warm,Low,23595.74,1.0,17.46,1684.0,11.0,30.0,26.56,55.25,Poor,High,VRF
Residential,Cold,High,1003.53,1.0,9.19,14.0,10.0,22.0,3.19,,Good,Low,Split AC
Office,Cold,Medium,16567.03,1.0,11.72,842.0,10.0,10.0,12.29,27.27,Good,Medium,Multi-Split
Residential,Cold,Medium,2381.13,2.0,9.73,58.0,9.0,18.0,16.62,,Average,Low,Split AC
Industrial,Hot,Medium,125890.46,5.0,16.67,6711.0,15.0,44.0,35.82,31.3,Good,Low,Packaged Unit
Residential,Hot,Medium,2239.87,1.0,9.22,33.0,6.0,23.0,41.49,35.03,Average,Low,Split AC
Residential,Hot,Medium,1860.5,1.0,10.71,55.0,9.0,29.0,34.96,42.87,Average,Medium,Split AC
Residential,Hot,Low,2619.14,1.0,10.87,53.0,9.0,0.0,35.84,26.54,Poor,Low,Packaged Unit
Residential,Hot,High,500.0,1.0,9.43,7.0,9.0,37.0,38.87,29.74,Good,Medium,Split AC
Office,Hot,Low,19485.41,1.0,12.47,2050.0,10.0,10.0,41.69,32.46,Average,High,Multi-Split
Residential,Humid,Medium,1328.25,1.0,9.8,23.0,8.0,33.0,31.5,83.44,Good,Medium,Split AC
Office,Warm,High,18767.24,1.0,12.34,1086.0,9.0,25.0,26.09,49.98,Average,High,Multi-Split
Retail,Warm,Medium,48795.59,,17.73,1818.0,10.0,4.0,31.93,40.72,Poor,High,VRF
Residential,Hot,Low,1990.76,1.0,10.04,39.0,12.0,22.0,34.97,41.73,Average,Medium,Split AC
Office,Humid,Medium,27345.78,1.0,10.5,2611.0,,17.0,34.59,80.11,Average,Medium,VRF
Residential,Warm,Low,1675.81,1.0,10.26,37.0,7.0,10.0,31.01,63.85,Average,Low,Split AC
Office,Warm,Low,38235.13,5.0,10.74,1834.0,10.0,7.0,31.72,43.65,Poor,High,Central Chiller
Residential,Hot,Medium,2538.88,4.0,10.98,44.0,11.0,26.0,46.41,45.96,Poor,Medium,Multi-Split
Residential,Hot,Medium,1298.09,1.0,10.97,16.0,9.0,21.0,42.59,32.71,Average,Low,Central Chiller
Industrial,Warm,High,79110.91,2.0,17.54,1991.0,23.0,16.0,29.27,46.43,Good,Medium,Packaged Unit
Residential,Warm,Medium,1381.8,1.0,10.19,,8.0,25.0,37.87,45.48,Average,Low,Multi-Split
Residential,Cold,Medium,1071.68,1.0,9.23,24.0,7.0,21.0,10.28,37.64,Average,Low,Packaged Unit
Office,Hot,Medium,39210.51,1.0,11.65,1765.0,11.0,21.0,39.39,65.12,Average,Medium,Packaged Unit
Residential,Hot,Medium,1177.45,2.0,8.38,20.0,13.0,8.0,43.01,,Average,Medium,Split AC
Residential,Hot,Low,3287.34,2.0,9.28,31.0,9.0,21.0,31.64,54.8,Average,Low,Multi-Split
Retail,Cold,High,46347.01,2.0,12.11,3567.0,15.0,13.0,11.7,27.81,Average,High,VRF
Retail,Hot,Medium,57313.41,3.0,13.82,4649.0,11.0,12.0,37.7,44.86,Average,High,VRF
Office,Warm,Low,34857.45,2.0,13.25,3819.0,11.0,11.0,23.97,38.43,Poor,High,VRF
Hospital,Hot,High,140402.64,8.0,12.09,11632.0,21.0,15.0,,39.86,Average,Low,Central Chiller
Retail,Humid,,42137.3,1.0,15.88,,10.0,26.0,32.67,73.8,Excellent,High,Packaged Unit
Office,Humid,High,20277.64,1.0,13.36,1240.0,11.0,29.0,28.95,74.21,Average,Medium,VRF
Hospital,Hot,High,59879.19,3.0,10.28,4297.0,22.0,30.0,42.19,28.62,Excellent,Low,Central Chiller
Office,Cold,Low,25292.89,2.0,11.68,2117.0,9.0,12.0,19.39,30.27,Poor,Medium,Packaged Unit
Office,Warm,Low,33169.19,2.0,12.93,3798.0,11.0,0.0,30.71,64.29,Average,Medium,VRF
Residential,Hot,Medium,768.11,1.0,9.33,20.0,8.0,20.0,36.0,46.47,Average,Medium,Multi-Split
Office,Humid,Low,2695.27,1.0,11.71,95.0,10.0,24.0,36.66,77.78,Average,Medium,Multi-Split
Retail,Hot,Medium,38136.29,2.0,12.47,6579.0,,0.0,37.65,36.58,Good,High,Packaged Unit
Retail,Warm,Medium,45038.16,1.0,14.68,8301.0,14.0,28.0,28.23,43.78,Good,Medium,Packaged Unit
Hospital,Hot,Medium,92315.61,7.0,12.54,7347.0,22.0,23.0,36.68,42.79,Good,Low,Central Chiller
Residential,Warm,High,2403.27,1.0,8.59,42.0,6.0,39.0,30.65,41.12,Good,Low,Split AC
Office,Hot,Medium,32389.35,2.0,11.44,1282.0,8.0,24.0,37.14,36.28,Good,Medium,VRF
Hospital,Warm,Medium,83576.92,3.0,14.58,6589.0,21.0,78.0,30.26,43.77,Average,Low,Packaged Unit
Residential,Warm,High,1877.26,1.0,9.29,42.0,13.0,36.0,32.84,54.29,Good,Low,Split AC
Residential,Warm,Low,2065.75,1.0,8.61,51.0,9.0,0.0,32.85,62.27,Poor,Medium,Split AC
Office,Warm,Low,30452.36,1.0,11.33,1949.0,9.0,47.0,32.63,31.4,Average,Medium,VRF
Office,,Low,35370.92,2.0,,2543.0,10.0,18.0,30.09,101.67,Average,High,VRF
Retail,Hot,Low,47673.16,4.0,12.61,4889.0,11.0,11.0,33.59,43.48,Average,High,VRF
Office,Warm,Medium,26040.37,1.0,12.08,1261.0,11.0,42.0,30.09,57.53,Average,Medium,Packaged Unit
Residential,Humid,Low,2232.07,1.0,8.19,32.0,6.0,18.0,26.62,77.4,Poor,Medium,Split AC
Residential,Warm,Low,1711.28,1.0,10.53,21.0,7.0,35.0,24.84,62.12,Average,Low,Split AC
Office,,Medium,6418.51,1.0,11.16,406.0,9.0,24.0,35.24,42.05,Average,Medium,Multi-Split
Residential,Hot,High,2336.11,2.0,8.24,25.0,13.0,29.0,40.52,41.35,Average,Medium,VRF
Retail,Warm,Low,17989.82,1.0,14.24,2319.0,14.0,3.0,29.58,47.1,Average,Medium,Split AC
Hospital,Humid,Low,101918.37,6.0,13.21,14022.0,21.0,37.0,32.36,76.07,Average,Low,Central Chiller
Residential,Hot,Medium,1281.16,1.0,10.86,38.0,6.0,4.0,37.2,42.32,Good,Low,Split AC
Office,Cold,Low,23256.98,1.0,11.9,1048.0,10.0,28.0,17.54,18.76,Poor,High,VRF
Residential,Warm,High,500.0,1.0,9.61,14.0,6.0,18.0,26.94,49.65,Good,Low,Multi-Split
Residential,Humid,Medium,1611.95,1.0,10.57,23.0,12.0,38.0,37.57,80.58,,Low,Split AC
Residential,Cold,Medium,2695.04,,8.24,24.0,8.0,28.0,16.58,37.64,Average,Low,Multi-Split
Residential,Warm,High,1807.62,1.0,9.36,21.0,13.0,8.0,32.75,66.41,Excellent,Low,Split AC
Residential,Hot,High,3076.44,1.0,9.18,64.0,11.0,25.0,36.72,40.25,,Low,Central Chiller
Office,Warm,Medium,24933.28,3.0,12.41,2131.0,10.0,15.0,29.75,48.22,Average,High,Multi-Split
Residential,Hot,Low,1838.05,1.0,10.53,21.0,12.0,0.0,34.66,54.24,Poor,Low,Split AC
Industrial,Hot,Low,13936.38,1.0,22.89,590.0,12.0,20.0,38.32,41.67,Poor,Medium,Packaged Unit
Retail,Warm,Low,37208.64,3.0,14.98,3377.0,15.0,6.0,29.44,62.05,Poor,Medium,VRF
